1,10.939487
2,10.954820
3,10.973576
4,10.972806
5,10.942636
6,10.963593
7,10.974665
8,10.958799
9,10.949985
10,10.951412
11,10.948713
12,10.966258
13,10.976476
14,10.963870
15,10.959569
16,10.957597
17,10.952369
18,10.970115
19,10.964426
20,10.951597
21,10.953675
22,10.947237
23,10.944816
24,10.957493
25,10.953481
26,10.968204
27,10.961018
28,10.956114
29,10.950837
30,10.951661
31,10.962138
32,10.952245
33,10.951992
34,10.970802
35,10.953653
36,10.948771
37,10.951713
38,10.956770
39,10.956759
40,10.943278
41,10.937627
42,10.962547
43,10.960299
44,10.953101
45,10.952140
46,10.959961
47,10.945762
48,10.970772
49,10.924567
50,10.958875
51,10.940855
52,10.945564
53,10.939018
54,10.954137
55,10.939193
56,10.944319
57,10.934086
58,10.943696
59,10.932347
60,10.911993
61,10.941354
62,10.914978
63,10.935308
64,10.929460
65,10.911042
66,10.937747
67,10.930828
68,10.915779
69,10.939426
70,10.910034
71,10.893441
72,10.913681
73,10.925749
74,10.956209
75,10.914529
76,10.913750
77,10.905310
78,10.905946
79,10.912408
80,10.894876
81,10.921004
82,10.914983
83,10.906142
84,10.907154
85,10.895145
86,10.893309
87,10.909206
88,10.893930
89,10.894015
90,10.901655
91,10.889778
92,10.898165
93,10.909051
94,10.893303
95,10.882187
96,10.911178
97,10.893319
98,10.884811
99,10.895915
100,10.882630
101,10.879673
102,10.884810
103,10.876809
104,10.894961
105,10.877748
106,10.870258
107,10.847356
108,10.850698
109,10.892003
110,10.841608
111,10.842247
112,10.833302
113,10.851500
114,10.864557
115,10.894882
116,10.863275
117,10.861740
118,10.844365
119,10.852584
120,10.843738
121,10.854844
122,10.865903
123,10.847576
124,10.837093
125,10.834971
126,10.830000
127,10.826003
128,10.816486
129,10.819072
130,10.841326
131,10.828205
132,10.843317
133,10.798913
134,10.803745
135,10.820802
136,10.790074
137,10.789401
138,10.800078
139,10.791164
140,10.799444
141,10.823866
142,10.762845
143,10.810876
144,10.809368
145,10.793674
146,10.762717
147,10.779021
148,10.777137
149,10.764215
150,10.790761
151,10.742900
152,10.806422
153,10.763306
154,10.768794
155,10.767021
156,10.799296
157,10.796867
158,10.747543
159,10.761227
160,10.771985
161,10.720962
162,10.708833
163,10.731369
164,10.765116
165,10.706321
166,10.736795
167,10.779499
168,10.760785
169,10.699505
170,10.723232
171,10.737775
172,10.720778
173,10.729020
174,10.750091
175,10.679487
176,10.707485
177,10.697444
178,10.680143
179,10.708207
180,10.689302
181,10.683438
182,10.710103
183,10.710484
184,10.671047
